mass1,mass2,chi1,chi2,snr,predicted_mass1,predicted_mass2,predicted_spin1,predicted_spin2,predicted_snr,TPE
1.6977815037924793,1.2835626474888482,-0.046171190237372484,0.01956707523555555,6.786120674221683,1.0609961940724848,1.602311441418927,-0.0010929398282702632,-0.025085234027850217,5.990022774855355,12.822088241577148
1.566716730055879,1.4550653516975367,-0.03898393709237398,0.025683297289544868,4.848375269523614,1.655069800505026,1.6145047520020517,0.03985984150088823,-0.008994213915889315,5.983241202744664,15.503907442092896
1.1860192587863292,1.1554349644623625,-0.0071047430956993965,-0.04870277471592197,9.301860287613577,1.6748361994732843,1.5955992808824857,-0.002486384546563161,-0.034935129775623075,5.9091044569265065,10.476070165634155
1.6556358083631637,1.7360525382149157,0.014300808207986931,0.02219953414082823,6.420205373001404,1.3314753319861503,1.6771604483401747,-0.04686036250193127,0.028380066539138334,5.91698162630475,12.120568037033081
1.3025098169602014,1.0219160869685449,-0.033335184632096324,-0.031388119335393164,7.869269974331846,1.570167777983628,1.926241294614972,-0.017950831730644566,-0.04217540511501377,5.936206097668498,8.707748174667358
1.4238655252705459,1.1457981380126647,-0.014680623586638568,-0.029536840930754482,6.405227805493542,1.7776285837671573,1.065309786343914,0.04671023262975114,-0.0014409549761633007,5.97499567541677,10.618339538574219
1.0494834455813116,1.2177778609126566,0.031106159246878345,-0.017702656916281402,6.862934132613901,1.2832941478474773,1.876558539645117,0.006837215480104412,0.0364056776440256,5.9767111918191445,10.930219411849976
1.6056504422555942,1.9377872101929787,0.02373072994065549,-0.041722236247791526,7.281531386782959,1.073972534709488,1.508591615906381,0.02454013148833504,-0.025988672991278938,5.963183164938545,9.685842514038086
1.6379127863187315,1.0019946029999618,-0.03041676516364198,0.023014139556651284,5.564126165973641,1.6983897151556486,1.3165661167985276,0.011522553498666016,-0.0186120480568628,5.9900995743261065,11.953115463256836
1.924152285932272,1.8784244598694286,0.019265368570258415,0.008818183705623116,12.839822659276896,1.4516163740934251,1.6766280797645847,-0.030434927649254435,0.010350047458525542,5.951860729882888,9.942366600036621
1.3750638697365511,1.0634436080503868,0.035605612125930705,0.030393433478174844,10.905652942789768,1.3981048792999795,1.0117696646761194,0.03490892657319437,0.03173827040042824,5.920037877275855,11.614023447036743
1.5530443293433875,1.2695498456271994,0.03941089116803227,-0.035950392891468785,6.184812136084477,1.5734659622784886,1.69237307365875,-0.029895175362415094,-0.009326621286730175,5.933847519455531,8.932482719421387
1.2872624021734438,1.293966852448388,0.026541319768829952,-0.018331286213933873,7.069524925051283,1.1680787014914318,1.6212222054224348,0.044576343710041016,0.02605847188519768,5.979613002722434,13.091834306716919
1.9207406501485316,1.7518962106790101,-0.008118534235817397,0.045858290639171004,6.187241338322262,1.9260061348018123,1.3941709329822787,0.04018785534249379,-0.004229477028919324,5.998860040254756,13.98475193977356
1.2826946665094519,1.3647079811873626,0.025855460084992385,0.04472761317185944,5.144777106261226,1.1821107171354361,1.9570200395646067,-0.00233991806369278,-0.007952500624755027,5.936267059150172,10.19516372680664
1.0498882557085198,1.8851884818209284,-0.03089544006602898,0.0330916319972786,5.801838540081882,1.5037752428482696,1.5485650579264376,-0.007776207669153096,0.007825021331519143,5.946984595644876,9.479019403457642
1.10178713910777,1.7437182494871082,-0.02322549594002632,-0.031029223246647798,8.430860812983317,1.1172168825693483,1.998940579044471,0.013635224070078344,-0.020972714872418564,5.959072147387306,9.717573642730713
1.3795853731116903,1.3555050162295628,-0.01098266080258272,0.03793700424536302,7.361492052578972,1.0423436983792038,1.1103120321553444,0.002253827407780122,-0.047213256544336245,5.925005281207939,13.711720705032349
1.1788622519065113,1.5472249139699925,-0.014530802406933899,0.017533181100149356,5.611208618917647,1.9095793195481616,1.4063683281555461,0.03199462051978282,0.004342115326189083,5.99425880478836,14.322564601898193
1.8364687535586515,1.2693279670845203,-0.0037521320430169425,0.012281704912749748,7.86419590895501,1.509240026675989,1.5430226268798162,-0.012568128815392035,0.01580595006592545,5.966234762915144,10.62809443473816
1.7995801084480598,1.9583164229454977,-0.019382531510799772,0.026184889421646082,7.272423457097939,1.815001356374535,1.098583591053315,-0.007018505219113314,-0.020393883509665704,5.958343256917393,12.002038478851318
1.0622191338748763,1.1950137802166871,0.04049449316193032,0.049328424311684396,7.808861198499395,1.2993268687506547,1.31893639979495,0.04237172353245658,-0.02139590490066682,5.977645614190314,18.339658737182617
