lambda0,eta,chi1,chi2,snr,predicted_lambda0,predicted_eta,predicted_spin1,predicted_spin2,predicted_snr,TPE
0.3819869903398404,0.2341942193719335,0.0022010065979692905,-0.004917365401607143,13.485960496855629,0.5133684289300072,0.2379445385854412,-0.049826397035531725,-0.023658411253875217,5.992734575628681,9.120551824569702
0.3226945448894444,0.22822418668107766,-0.0012810899207080367,-0.023849330887907406,5.153983812182649,0.9573534559055622,0.2420204971712965,-0.02004392038871729,-0.00983494096755029,5.999852778931369,11.553363561630249
0.8506463011747792,0.24477133475443738,-0.010661512739381207,0.024647959564263286,7.908022989772147,0.6723791361294611,0.23824898953254794,-0.02376882956089004,-0.011304810165911526,5.985907997574945,10.769760370254517
0.881359919723925,0.23076280615652087,0.031061542173602644,-0.034588435032091275,7.3973033398445684,0.768944958468052,0.2325659971069073,-0.015400382539301457,-0.047992834849759275,5.974231443351705,11.294378280639648
0.6566668694602456,0.2232668143339338,0.03972339276196253,0.02309123852879605,10.258535882867236,0.8077037625966035,0.245188613704703,0.02832359286773427,0.018011637640645173,5.849615186960924,8.945030212402344
0.8697195904543271,0.23789344517465663,0.037931915336271924,-0.016414099633289346,9.03950194492646,0.5857174145463946,0.23360393657373574,0.018031481166918044,-0.04308049490720348,5.985492275121827,10.203008890151978
0.39833505830194704,0.24039372985694984,-0.02622904220023893,0.014052948847382202,8.126273339251298,0.6390744990780525,0.24686780457046253,-0.031229992553479326,-0.015027737769906924,5.901602545812671,9.009706020355225
0.9369504070138535,0.2353892457889932,0.016228358837465442,-0.04238872386786718,6.015565251428314,0.811222352523003,0.22507090096501864,0.0202978452940713,0.015058188396113998,5.990831957846799,13.344006061553955
0.34431962568984054,0.24699149073449883,0.0407276332022672,0.044467297828362326,7.979454124021688,0.9971643375713221,0.22783444574745612,0.012945146567879342,0.049424045285832885,5.999363154169158,9.052369356155396
0.8932711927827298,0.24183725050382093,0.030376518476410236,0.019186674662788658,7.492245288076281,0.6867623603569856,0.22828690474550387,-0.016226269948758962,-0.005152148934621863,5.99772774907393,13.558810949325562
0.33855524008461335,0.22839035120424514,0.0424558283774704,-0.013791772253697043,6.235719889783619,0.8631401719059189,0.2305715852099051,0.022901704032367284,0.028301057721044236,5.983322284858144,10.294604063034058
0.4485064209049603,0.22445868074678926,0.04224563253820439,0.04311009540195225,5.148393765761209,0.5908168324581394,0.22998983689685557,0.010239242926066313,0.01831415370917857,5.950031856771415,9.47154974937439
0.8857262772967,0.2342965157782437,0.049018215862228584,0.014940942192775503,7.128451121394341,0.4047977992831643,0.23161228444227025,-0.0034580171998584777,-0.02753281800613915,5.929390093821525,8.824326753616333
0.8368106903711683,0.23426118535821158,-0.03832944691549888,0.019066114477865298,7.146992880574786,0.49960497011133687,0.22812459785790304,0.01299539908938486,-0.003678339643795897,5.9285998193109535,10.229636192321777
0.6785976064196573,0.22945476279227903,-0.011358971981083744,0.03470494555976397,8.291616585544036,0.8672931392847669,0.23246099927977015,0.04170682440696104,0.04199836373505472,5.9103931715379785,8.792953968048096
0.331410131170903,0.2317736637049405,0.03749766939515928,0.044559503341578904,6.90669949027623,0.8264595004719288,0.22774919875152935,0.0076754877690070784,0.0035441936393095317,5.9766509089427124,9.647032499313354
0.3301052622480924,0.23574186061932423,-0.0379648783963889,0.02742685340920409,7.381230734170122,0.8081146275120837,0.24601639133076697,-0.0018027005307736169,-0.01850323106383931,5.8775605138567855,8.912073135375977
0.45842187529913825,0.23440691821872658,-0.033294675149070946,-0.005332695756105399,6.524824952213195,0.7715563749848933,0.24726970361048037,-0.002785967090729119,0.025126923471629262,5.986717980814214,9.366708993911743
0.4702393862660442,0.24811535363946394,-0.029805667893583687,0.02710253690394028,6.574810398885913,0.6988414386554554,0.24254823198336978,0.002007624461184913,0.04751746689546058,5.907597277829476,14.45945143699646
0.35325591798519296,0.22393406691056142,0.019113871505899535,0.046453791310291384,7.344808528233801,0.8266699757023735,0.2436028024220304,-0.0469106814951349,-0.03722694056552295,5.969190335686192,15.756062984466553
0.9826326714858307,0.22233356495921508,-0.00797214282972998,-0.0005286215348104112,6.267319393177334,0.5023028140076187,0.22911687010546844,0.04056053084616168,-0.041554713728250564,5.998285950486899,15.100388050079346
0.6420991329393573,0.22325012112926265,-0.024799192182449803,-0.009523110500973243,6.6572277061680225,0.6725018290682959,0.2286834551757564,-0.001632511174702557,-0.006629902642573901,5.997578240656891,12.532104730606079
0.6929471878677357,0.24794700887683244,-0.03558916454353078,-0.018204991161996913,6.399020209714306,0.4411631185073902,0.2452078536293824,0.01775110679653087,0.04122749140659032,5.987209533002781,8.919230222702026
0.7117841391383085,0.22725720392976775,0.01365542899535696,-0.012348497656882042,5.275716592684819,0.6353858736577626,0.23965605837810813,-0.04357043477583496,-0.03353256325109971,5.9807252986608965,9.566518783569336
0.5954349525194885,0.24614660420634546,-0.015454543558921362,0.04787586295763911,7.218227772178487,0.9313319428331981,0.23503736782704884,0.0110351796897676,-0.013659512348065565,5.858433909163785,9.84742522239685
0.4129009453042221,0.23071591025798077,0.039126350249808,-0.04586933267745812,7.84796485011735,0.4944469726380296,0.24749324539246198,-0.02914828746928927,0.04156720813423705,5.986560485494407,15.181228637695312
0.7462505911993222,0.24912035313764713,0.01708077377994968,0.02288795149723584,7.973787410886283,0.5320340226508281,0.24440537496463646,0.02117358547379571,0.005445198649294367,5.9889297285908745,15.48104190826416
0.5170495637386796,0.23349249283819523,-0.02470015209012011,-0.022391710103844623,5.290213788450102,0.6382287038345349,0.2482274892479104,0.020989698379106036,0.01558603988185751,5.979119916216768,15.60494327545166
