mass1,mass2,chi1,chi2,snr,predicted_mass1,predicted_mass2,predicted_spin1,predicted_spin2,predicted_snr,TPE,CMAES
1.8433215744541873,1.0959770577628727,-0.03273130698898317,-0.03400437035639908,8.68590952790017,1.5687948438754387,1.2815750273145037,0.028392868792447203,-0.01915973369650975,6.07574953892366,3.4114301204681396,47.830984115600586
1.9124754728579063,1.7424202515274354,-0.020533630192171706,0.030368519755860246,9.083331197890848,1.5828692493927659,1.6826453903560146,-0.03932379053592451,-0.0008388556368927541,6.067480073977416,8.355533361434937,48.26175332069397
1.8774814166333873,1.4466046609910848,-0.045278926735818376,-0.03323202837848136,16.75990868252478,1.8305565592895967,1.4909719608239094,0.013018746810914458,-0.04198240319848837,6.3722227881781714,0.013101816177368164,47.8322594165802
1.4497477931512903,1.4769941304341767,-0.041212806587195894,0.049415967781585246,13.829681065844863,1.2032669287418938,1.7892239101327065,0.002280434375148018,0.04091019665439514,7.662344225875001,0.95766282081604,48.30435132980347
1.8205811221009731,1.0148470416851108,-0.02822927980596537,-0.013489707809718525,9.794339657651575,1.840973585835467,1.9176481922962767,-0.02004998827021755,0.03653389608693709,6.276674982239783,1.2904984951019287,48.67515158653259
1.2413761090999178,1.7723316876096205,-0.003800119691913781,0.026805325318441195,8.768761122361688,1.3817017459761294,1.5816963111719375,-0.020813890998404052,-0.027929085302915088,6.302985247336221,0.2618556022644043,47.58838963508606
1.1669393625905293,1.4056422431392868,-0.02242785334942479,-0.0018506881609062636,8.672258683681594,1.9183567906666552,1.3990621207947087,-0.002677283204304756,-0.01732798482772102,6.123894196383079,11.573478937149048,48.039756298065186
1.683110086227868,1.6486979025798116,-0.0019972050700236346,-0.016424467896078876,5.481947740121153,1.0604926689552925,1.630054260634023,0.0383923612763527,0.009120132394988132,6.145010021379773,1.6601498126983643,48.294861793518066
1.5802707855110978,1.2428602339404071,0.04666365158903074,-0.03727356352449623,6.8789105871735226,1.1781861175608828,1.0686550855280725,0.005769478144385527,-0.022643046017458538,6.087949574890502,5.194048881530762,47.89485049247742
1.6312149988744444,1.8038676971970102,-0.04188791866021429,-0.035997707159199005,5.2866057367927635,1.7207272970482532,1.6649597784246892,-0.027176657832297214,-0.01084120545687319,6.07403047869714,0.13223886489868164,48.99821591377258
1.7811432148651107,1.9184210328133462,0.009966162960880473,-0.009746556421304675,9.015570773336066,1.5176878308606276,1.7637194559465303,0.013236906555529202,0.030562354218580688,6.088719347718252,1.0250842571258545,48.39387083053589
1.699541449604994,1.6847931270608518,0.022168952556059884,-0.022738149784420715,17.73073538984885,1.4430051415842118,1.9919315086629859,-0.004600550158596547,0.0285420322172329,12.310610335831916,0.4486658573150635,48.40213465690613
1.3180315473973843,1.984071235892117,-0.04046434035062238,0.03166103840358342,10.655375588920743,1.580257862163066,1.6450569682919944,0.03200365095304774,0.04882130399648013,7.91550251608972,0.1424274444580078,48.59706354141235
1.9303882828754446,1.5567479067823324,0.02892407804534125,-0.04969302941861097,7.801775142046519,1.1878891603347508,1.4464844735166706,0.024348436747314,0.03515562235275161,6.115511793464111,2.59688663482666,48.61002779006958
1.2566767713468838,1.387507322627151,0.011289895721454668,0.046844441771794754,13.932997326222644,1.3582057526406563,1.273315407119346,-0.028702604350138175,0.048774604648695555,6.443455013810536,0.0077800750732421875,48.395939111709595
1.7530731761766603,1.8546702731773606,-0.03956043760354914,-0.008452418768849258,14.990276101987861,1.57628485390932,1.9208281288930025,-0.01236445466297477,-0.008803561217028298,6.16332437346789,0.7764201164245605,48.949562072753906
1.2801794693007302,1.9763342614897486,0.029267738028233695,-0.0407063808333982,7.62654912965263,1.2969535683110631,1.9502507040352821,0.0038049803230242934,-0.0015169667121871407,6.192394371912519,0.8278234004974365,49.08111500740051
1.1211456462534244,1.8293976908242686,-0.035699749279335814,-0.025063708841616707,14.170963736953464,1.7857130647372859,1.1502667545745364,-0.0031178314093969757,-0.011691603552657377,8.020897950970003,0.14938759803771973,48.42928409576416
1.4518529920712941,1.1501759143644885,0.02624697560279214,0.03722596348135626,8.53766670816743,1.388830147003819,1.9257920648083222,-0.01555474743213374,-0.023205981475623572,6.190334428461158,1.3851051330566406,48.34709429740906
1.0579168572725322,1.102511655325566,0.009899297394029227,-0.018783830103470758,6.302741195371433,1.9702982965106548,1.459104497816814,-0.03821553800277522,-0.02132633091473882,6.114047724807908,1.2381224632263184,47.99021077156067
